time,id,connector,soc,charging,session,source
2026-08-31 20:39:47.720,700205,GBT,,True,20260831_203902_855440,C:\Users\1\PycharmProjects\ev_charge_helper2\data\malanka_debug\20260831_203902_855440\page_text_000006_20260831_203947_720858.txt
2026-08-31 20:39:52.778,700205,GBT,99,True,20260831_203902_855440,C:\Users\1\PycharmProjects\ev_charge_helper2\data\malanka_debug\20260831_203902_855440\page_text_000007_20260831_203952_778798.txt
2026-08-31 20:39:52.778,700206,GBT,,True,20260831_203902_855440,C:\Users\1\PycharmProjects\ev_charge_helper2\data\malanka_debug\20260831_203902_855440\page_text_000007_20260831_203952_778798.txt
2026-08-31 20:40:10.230,700205,GBT,99,True,20260831_203902_855440,C:\Users\1\PycharmProjects\ev_charge_helper2\data\malanka_debug\20260831_203902_855440\page_text_000008_20260831_204010_230088.txt
2026-08-31 20:40:10.230,700206,GBT,,True,20260831_203902_855440,C:\Users\1\PycharmProjects\ev_charge_helper2\data\malanka_debug\20260831_203902_855440\page_text_000008_20260831_204010_230088.txt
2026-08-31 20:40:10.230,700207,GBT,,True,20260831_203902_855440,C:\Users\1\PycharmProjects\ev_charge_helper2\data\malanka_debug\20260831_203902_855440\page_text_000008_20260831_204010_230088.txt
2026-08-31 20:40:10.230,700208,CCS,79,True,20260831_203902_855440,C:\Users\1\PycharmProjects\ev_charge_helper2\data\malanka_debug\20260831_203902_855440\page_text_000008_20260831_204010_230088.txt
2026-08-31 20:40:11.962,700205,GBT,99,True,20260831_203902_855440,C:\Users\1\PycharmProjects\ev_charge_helper2\data\malanka_debug\20260831_203902_855440\page_text_000009_20260831_204011_962018.txt
2026-08-31 20:40:11.962,700206,GBT,57,True,20260831_203902_855440,C:\Users\1\PycharmProjects\ev_charge_helper2\data\malanka_debug\20260831_203902_855440\page_text_000009_20260831_204011_962018.txt
2026-08-31 20:40:11.962,700207,GBT,95,True,20260831_203902_855440,C:\Users\1\PycharmProjects\ev_charge_helper2\data\malanka_debug\20260831_203902_855440\page_text_000009_20260831_204011_962018.txt
2026-08-31 20:40:11.962,700208,CCS,79,True,20260831_203902_855440,C:\Users\1\PycharmProjects\ev_charge_helper2\data\malanka_debug\20260831_203902_855440\page_text_000009_20260831_204011_962018.txt
2026-08-31 20:41:26.394,700207,GBT,96,True,20260831_203902_855440,C:\Users\1\PycharmProjects\ev_charge_helper2\data\malanka_debug\20260831_203902_855440\page_text_000026_20260831_204126_394328.txt
2026-08-31 20:41:31.949,700207,GBT,96,True,20260831_203902_855440,C:\Users\1\PycharmProjects\ev_charge_helper2\data\malanka_debug\20260831_203902_855440\page_text_000027_20260831_204131_949024.txt
2026-08-31 20:41:37.058,700207,GBT,96,True,20260831_203902_855440,C:\Users\1\PycharmProjects\ev_charge_helper2\data\malanka_debug\20260831_203902_855440\page_text_000028_20260831_204137_058563.txt
2026-08-31 20:41:44.809,700207,GBT,96,True,20260831_203902_855440,C:\Users\1\PycharmProjects\ev_charge_helper2\data\malanka_debug\20260831_203902_855440\page_text_000029_20260831_204144_809705.txt
2026-08-31 20:41:46.841,700207,GBT,96,True,20260831_203902_855440,C:\Users\1\PycharmProjects\ev_charge_helper2\data\malanka_debug\20260831_203902_855440\page_text_000030_20260831_204146_841546.txt
2026-08-31 20:41:48.640,700207,GBT,96,True,20260831_203902_855440,C:\Users\1\PycharmProjects\ev_charge_helper2\data\malanka_debug\20260831_203902_855440\page_text_000031_20260831_204148_640169.txt
2026-08-31 20:41:50.452,700207,GBT,96,True,20260831_203902_855440,C:\Users\1\PycharmProjects\ev_charge_helper2\data\malanka_debug\20260831_203902_855440\page_text_000032_20260831_204150_452961.txt
2026-08-31 20:41:52.255,700207,GBT,96,True,20260831_203902_855440,C:\Users\1\PycharmProjects\ev_charge_helper2\data\malanka_debug\20260831_203902_855440\page_text_000033_20260831_204152_255525.txt
